request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_61,29062.0,affordable_now,full_payment,2024-03-03:29062.00,2024-03-03,none,"Balance 147470.23 ZAR, min balance 36700.00. Forecast headroom on 2024-03-03 is 108480.03 against a request of 29062.00. Decision: affordable_now / full_payment."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Balance 5151.44 USD, min balance 1300.00. Forecast headroom on 2025-08-05 is 3706.44 against a request of 404.23. Decision: affordable_now / full_payment."
request_63,90145.0,not_affordable,not_recommended,none,,none,"Balance 251795.00 INR, min balance 153500.00. Forecast headroom on 2026-07-07 is 90145.00 against a request of 343900.00. Decision: not_affordable / not_recommended."
request_64,0.0,not_affordable,not_recommended,none,,none,"Balance 98573.01 INR, min balance 36100.00. Forecast headroom on 2024-06-04 is -19446.25 against a request of 63700.00. Decision: not_affordable / not_recommended."
request_65,13024.0,not_affordable,not_recommended,none,,none,"Balance 28524.00 ZAR, min balance 15500.00. Forecast headroom on 2025-11-06 is 13024.00 against a request of 54340.00. Decision: not_affordable / not_recommended."
request_66,22200.0,affordable_now,full_payment,2026-04-03:22200.00,2026-04-03,none,"Balance 302520.00 INR, min balance 80700.00. Forecast headroom on 2026-04-03 is 221820.00 against a request of 22200.00. Decision: affordable_now / full_payment."
request_67,792.54,affordable_with_plan,full_payment,2024-09-15:2094.00,2024-09-15,none,"Balance 1992.54 USD, min balance 1200.00. Forecast headroom on 2024-09-05 is 792.54 against a request of 2094.00. Decision: affordable_with_plan / full_payment."
request_68,2091.6,affordable_now,full_payment,2025-02-07:2091.60,2025-02-07,none,"Balance 3657.83 USD, min balance 1500.00. Forecast headroom on 2025-02-07 is 2157.83 against a request of 2091.60. Decision: affordable_now / full_payment."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Balance 1639.50 EUR, min balance 700.00. Forecast headroom on 2026-01-04 is 939.50 against a request of 529.10. Decision: affordable_now / full_payment."
request_70,93360.0,not_affordable,not_recommended,none,,none,"Balance 208360.00 INR, min balance 115000.00. Forecast headroom on 2024-12-06 is 93360.00 against a request of 243900.00. Decision: not_affordable / not_recommended."
request_71,7485050.0,not_affordable,not_recommended,none,,none,"Balance 16369850.00 IDR, min balance 8884800.00. Forecast headroom on 2025-05-03 is 7485050.00 against a request of 21451000.00. Decision: not_affordable / not_recommended."
request_72,11330.0,affordable_now,full_payment,2026-07-05:11330.00,2026-07-05,none,"Balance 30337.13 ZAR, min balance 12200.00. Forecast headroom on 2026-07-05 is 18137.13 against a request of 11330.00. Decision: affordable_now / full_payment."
request_73,71400.0,affordable_now,full_payment,2023-01-20:71400.00,2023-01-20,none,"Balance 278542.50 INR, min balance 103200.00. Forecast headroom on 2023-01-20 is 171692.50 against a request of 71400.00. Decision: affordable_now / full_payment."
request_74,5010.0,affordable_now,full_payment,2025-08-04:5010.00,2025-08-04,none,"Balance 70056.90 ZAR, min balance 21900.00. Forecast headroom on 2025-08-04 is 48156.90 against a request of 5010.00. Decision: affordable_now / full_payment."
request_75,28270.0,affordable_now,full_payment,2026-04-06:28270.00,2026-04-06,none,"Balance 145867.87 ZAR, min balance 39000.00. Forecast headroom on 2026-04-06 is 106867.87 against a request of 28270.00. Decision: affordable_now / full_payment."
request_76,1538.8,not_affordable,not_recommended,none,,none,"Balance 3338.80 USD, min balance 1800.00. Forecast headroom on 2024-06-03 is 1538.80 against a request of 4455.60. Decision: not_affordable / not_recommended."
request_77,60700.0,affordable_now,full_payment,2025-11-05:60700.00,2025-11-05,none,"Balance 189860.50 INR, min balance 82200.00. Forecast headroom on 2025-11-05 is 107660.50 against a request of 60700.00. Decision: affordable_now / full_payment."
request_78,50200.0,affordable_now,full_payment,2025-10-02:50200.00,2025-10-02,none,"Balance 156676.00 INR, min balance 55200.00. Forecast headroom on 2025-10-02 is 101476.00 against a request of 50200.00. Decision: affordable_now / full_payment."
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,"Balance 2104.08 EUR, min balance 1000.00. Forecast headroom on 2024-09-04 is 1104.08 against a request of 2151.60. Decision: affordable_with_plan / partial_payment."
request_80,152115.0,not_affordable,not_recommended,none,,none,"Balance 280125.00 INR, min balance 121300.00. Forecast headroom on 2025-02-06 is 152115.00 against a request of 217500.00. Decision: not_affordable / not_recommended."
request_81,2076.0,affordable_now,full_payment,2026-07-03:2076.00,2026-07-03,none,"Balance 5028.25 USD, min balance 1600.00. Forecast headroom on 2026-07-03 is 3255.25 against a request of 2076.00. Decision: affordable_now / full_payment."
request_82,1011.4,not_affordable,not_recommended,none,,none,"Balance 2202.40 USD, min balance 1100.00. Forecast headroom on 2024-12-05 is 1011.40 against a request of 1405.20. Decision: not_affordable / not_recommended."
request_83,28330.0,not_affordable,not_recommended,none,,none,"Balance 68930.00 INR, min balance 37800.00. Forecast headroom on 2025-05-07 is 28330.00 against a request of 156200.00. Decision: not_affordable / not_recommended."
request_84,56565.0,not_affordable,not_recommended,none,,reduce_to:event_7940:1730.00|reduce_to:event_7941:0.00,"Balance 153945.00 INR, min balance 91300.00. Forecast headroom on 2026-04-04 is 56565.00 against a request of 95400.00. Decision: not_affordable / not_recommended. Required spending changes: reduce_to:event_7940:1730.00, reduce_to:event_7941:0.00."
request_85,2422120.0,not_affordable,not_recommended,none,,none,"Balance 8818420.00 IDR, min balance 6396300.00. Forecast headroom on 2024-03-06 is 2422120.00 against a request of 19304000.00. Decision: not_affordable / not_recommended."
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300.00,2025-08-03,none,"Balance 228639.50 INR, min balance 84900.00. Forecast headroom on 2025-08-03 is 143739.50 against a request of 46300.00. Decision: affordable_now / full_payment."
request_87,92850.0,not_affordable,not_recommended,none,,none,"Balance 278750.00 INR, min balance 185900.00. Forecast headroom on 2026-01-05 is 92850.00 against a request of 487900.00. Decision: not_affordable / not_recommended."
request_88,15557.89,not_affordable,not_recommended,none,,none,"Balance 41357.89 ZAR, min balance 25800.00. Forecast headroom on 2024-06-07 is 15557.89 against a request of 26092.00. Decision: not_affordable / not_recommended."
request_89,13756000.0,affordable_now,full_payment,2025-11-04:13756000.00,2025-11-04,none,"Balance 27331862.01 IDR, min balance 12534700.00. Forecast headroom on 2025-11-04 is 14797162.01 against a request of 13756000.00. Decision: affordable_now / full_payment."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560.00,2026-07-06,none,"Balance 31629.50 ZAR, min balance 7600.00. Forecast headroom on 2026-07-06 is 24029.50 against a request of 2560.00. Decision: affordable_now / full_payment."
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.20,2024-09-03,none,"Balance 4209.60 EUR, min balance 2100.00. Forecast headroom on 2024-09-03 is 1943.60 against a request of 1927.20. Decision: affordable_now / full_payment."
request_92,34034.0,affordable_now,full_payment,2025-02-05:34034.00,2025-02-05,none,"Balance 78664.47 ZAR, min balance 28100.00. Forecast headroom on 2025-02-05 is 50564.47 against a request of 34034.00. Decision: affordable_now / full_payment."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Balance 3962.10 USD, min balance 1900.00. Forecast headroom on 2026-04-07 is 2062.10 against a request of 1729.20. Decision: affordable_now / full_payment."
request_94,572.0,affordable_now,full_payment,2024-12-04:572.00,2024-12-04,none,"Balance 2663.60 EUR, min balance 600.00. Forecast headroom on 2024-12-04 is 2063.60 against a request of 572.00. Decision: affordable_now / full_payment."
request_95,137865.0,not_affordable,not_recommended,none,,none,"Balance 283365.00 INR, min balance 145500.00. Forecast headroom on 2025-05-06 is 137865.00 against a request of 553000.00. Decision: not_affordable / not_recommended."
request_96,90200.0,affordable_now,full_payment,2026-01-03:90200.00,2026-01-03,none,"Balance 161635.49 INR, min balance 56500.00. Forecast headroom on 2026-01-03 is 105135.49 against a request of 90200.00. Decision: affordable_now / full_payment."
request_97,8145.28,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Balance 38565.89 ZAR, min balance 29700.00. Forecast headroom on 2024-03-05 is 8865.89 against a request of 23496.00. Decision: affordable_with_plan / installments."
request_98,17244.7,not_affordable,not_recommended,none,,none,"Balance 47244.70 ZAR, min balance 30000.00. Forecast headroom on 2025-08-07 is 17244.70 against a request of 27148.00. Decision: not_affordable / not_recommended."
request_99,18062.0,affordable_now,full_payment,2026-07-04:18062.00,2026-07-04,none,"Balance 86706.58 ZAR, min balance 49100.00. Forecast headroom on 2026-07-04 is 37606.58 against a request of 18062.00. Decision: affordable_now / full_payment."
request_100,12866.19,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Balance 68363.53 ZAR, min balance 32500.00. Forecast headroom on 2024-06-06 is 34836.13 against a request of 37114.00. Decision: affordable_with_plan / installments."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500.00,2025-11-03,none,"Balance 465868.50 INR, min balance 187400.00. Forecast headroom on 2025-11-03 is 262808.50 against a request of 143500.00. Decision: affordable_now / full_payment."
request_102,1716.0,affordable_now,full_payment,2026-04-05:1716.00,2026-04-05,none,"Balance 4643.74 EUR, min balance 900.00. Forecast headroom on 2026-04-05 is 3657.74 against a request of 1716.00. Decision: affordable_now / full_payment."
request_103,35759.0,not_affordable,not_recommended,none,,none,"Balance 168749.00 INR, min balance 125500.00. Forecast headroom on 2024-09-07 is 35759.00 against a request of 368300.00. Decision: not_affordable / not_recommended."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204.00,2025-02-04,none,"Balance 64021.70 ZAR, min balance 24700.00. Forecast headroom on 2025-02-04 is 37357.10 against a request of 17204.00. Decision: affordable_now / full_payment."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500.00,2026-06-08,none,"Balance 147831.80 INR, min balance 73900.00. Forecast headroom on 2026-06-08 is 73931.80 against a request of 53500.00. Decision: affordable_now / full_payment."
request_106,1401.7,not_affordable,not_recommended,none,,none,"Balance 2601.70 EUR, min balance 1200.00. Forecast headroom on 2024-12-03 is 1401.70 against a request of 2207.70. Decision: not_affordable / not_recommended."
request_107,2534.4,affordable_now,full_payment,2025-05-05:2534.40,2025-05-05,none,"Balance 5054.52 EUR, min balance 1600.00. Forecast headroom on 2025-05-05 is 3454.52 against a request of 2534.40. Decision: affordable_now / full_payment."
request_108,7836.4,not_affordable,not_recommended,none,,none,"Balance 31936.40 ZAR, min balance 24100.00. Forecast headroom on 2026-07-07 is 7836.40 against a request of 55308.00. Decision: not_affordable / not_recommended."
request_109,645.98,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Balance 2976.46 EUR, min balance 1700.00. Forecast headroom on 2024-03-04 is 1276.46 against a request of 1863.40. Decision: affordable_with_plan / installments."
request_110,22352.0,affordable_now,full_payment,2025-08-06:22352.00,2025-08-06,none,"Balance 61229.53 ZAR, min balance 11200.00. Forecast headroom on 2025-08-06 is 50029.53 against a request of 22352.00. Decision: affordable_now / full_payment."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000.00,2026-04-03,none,"Balance 85204860.00 IDR, min balance 23022800.00. Forecast headroom on 2026-04-03 is 62182060.00 against a request of 16625000.00. Decision: affordable_now / full_payment."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"Balance 1026.00 EUR, min balance 500.00. Forecast headroom on 2024-06-05 is 526.00 against a request of 271.70. Decision: affordable_now / full_payment."
request_113,36500.0,affordable_now,full_payment,2026-09-04:36500.00,2026-09-04,none,"Balance 141890.00 INR, min balance 82300.00. Forecast headroom on 2026-09-04 is 59590.00 against a request of 36500.00. Decision: affordable_now / full_payment."
request_114,65300.0,affordable_now,full_payment,2026-01-04:65300.00,2026-01-04,none,"Balance 219230.00 INR, min balance 113400.00. Forecast headroom on 2026-01-04 is 105830.00 against a request of 65300.00. Decision: affordable_now / full_payment."
request_115,27135.0,not_affordable,not_recommended,none,,none,"Balance 65935.00 INR, min balance 38800.00. Forecast headroom on 2024-09-06 is 27135.00 against a request of 80500.00. Decision: not_affordable / not_recommended."
request_116,58075.0,not_affordable,not_recommended,none,,none,"Balance 138375.00 INR, min balance 80300.00. Forecast headroom on 2025-02-03 is 58075.00 against a request of 241200.00. Decision: not_affordable / not_recommended."
request_117,880.0,affordable_now,full_payment,2026-07-05:880.00,2026-07-05,none,"Balance 2164.20 EUR, min balance 1000.00. Forecast headroom on 2026-07-05 is 1164.20 against a request of 880.00. Decision: affordable_now / full_payment."
request_118,738.1,affordable_now,full_payment,2024-12-07:738.10,2024-12-07,none,"Balance 1538.51 EUR, min balance 600.00. Forecast headroom on 2024-12-07 is 938.51 against a request of 738.10. Decision: affordable_now / full_payment."
request_119,130901.01,not_affordable,not_recommended,none,,none,"Balance 282101.01 INR, min balance 151200.00. Forecast headroom on 2025-05-04 is 130901.01 against a request of 203500.00. Decision: not_affordable / not_recommended."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000.00,2026-04-06,none,"Balance 31748980.00 IDR, min balance 20050300.00. Forecast headroom on 2026-04-06 is 11111580.00 against a request of 7714000.00. Decision: affordable_now / full_payment."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Balance 1741.00 USD, min balance 800.00. Forecast headroom on 2024-03-03 is 916.00 against a request of 633.60. Decision: affordable_now / full_payment."
request_122,20558000.0,affordable_now,full_payment,2025-08-05:20558000.00,2025-08-05,none,"Balance 56827244.99 IDR, min balance 12588500.00. Forecast headroom on 2025-08-05 is 43288744.99 against a request of 20558000.00. Decision: affordable_now / full_payment."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000.00,2026-01-07,none,"Balance 63706400.00 IDR, min balance 18091200.00. Forecast headroom on 2026-01-07 is 44226300.00 against a request of 4076000.00. Decision: affordable_now / full_payment."
request_124,1076.12,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Balance 3709.56 EUR, min balance 1600.00. Forecast headroom on 2024-06-04 is 2049.56 against a request of 3104.20. Decision: affordable_with_plan / installments."
request_125,6468.0,affordable_now,full_payment,2025-11-06:6468.00,2025-11-06,none,"Balance 22027.97 ZAR, min balance 11300.00. Forecast headroom on 2025-11-06 is 10727.97 against a request of 6468.00. Decision: affordable_now / full_payment."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600.00,2026-07-03,none,"Balance 403175.00 INR, min balance 129700.00. Forecast headroom on 2026-07-03 is 273475.00 against a request of 159600.00. Decision: affordable_now / full_payment."
request_127,23980.0,affordable_now,full_payment,2024-09-05:23980.00,2024-09-05,none,"Balance 66058.00 ZAR, min balance 41000.00. Forecast headroom on 2024-09-05 is 25058.00 against a request of 23980.00. Decision: affordable_now / full_payment."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168.00,2025-02-07,none,"Balance 80711.70 ZAR, min balance 42600.00. Forecast headroom on 2025-02-07 is 38111.70 against a request of 25168.00. Decision: affordable_now / full_payment."
request_129,288.0,not_affordable,not_recommended,none,,none,"Balance 1088.00 USD, min balance 800.00. Forecast headroom on 2026-04-04 is 288.00 against a request of 2668.80. Decision: not_affordable / not_recommended."
request_130,917.46,not_affordable,not_recommended,none,,none,"Balance 2317.46 USD, min balance 1400.00. Forecast headroom on 2024-12-06 is 917.46 against a request of 1978.80. Decision: not_affordable / not_recommended."
request_131,1855.2,affordable_now,full_payment,2025-05-03:1855.20,2025-05-03,none,"Balance 3387.16 USD, min balance 1100.00. Forecast headroom on 2025-05-03 is 2287.16 against a request of 1855.20. Decision: affordable_now / full_payment."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"Balance 1744.55 USD, min balance 1100.00. Forecast headroom on 2026-01-05 is 644.55 against a request of 379.86. Decision: affordable_now / full_payment."
request_133,15770000.0,affordable_now,full_payment,2024-03-07:15770000.00,2024-03-07,none,"Balance 36824650.00 IDR, min balance 9986200.00. Forecast headroom on 2024-03-07 is 26838450.00 against a request of 15770000.00. Decision: affordable_now / full_payment."
request_134,12118200.0,affordable_with_plan,full_payment,2025-08-15:21831000.00,2025-08-15,none,"Balance 28020700.00 IDR, min balance 15902500.00. Forecast headroom on 2025-08-04 is 12118200.00 against a request of 21831000.00. Decision: affordable_with_plan / full_payment."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,"Balance 1041.10 USD, min balance 500.00. Forecast headroom on 2026-07-06 is 541.10 against a request of 304.80. Decision: affordable_now / full_payment."
request_136,560.4,affordable_now,full_payment,2024-06-03:560.40,2024-06-03,none,"Balance 2291.68 USD, min balance 1100.00. Forecast headroom on 2024-06-03 is 1191.68 against a request of 560.40. Decision: affordable_now / full_payment."
request_137,67960.0,not_affordable,not_recommended,none,,none,"Balance 139760.00 INR, min balance 71800.00. Forecast headroom on 2025-11-05 is 67960.00 against a request of 80100.00. Decision: not_affordable / not_recommended."
request_138,435.74,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-07,reduce_to:event_12709:0.00,"Balance 3644.65 EUR, min balance 2300.00. Forecast headroom on 2026-04-07 is 1209.90 against a request of 1256.94. Decision: affordable_with_plan / installments. Required spending changes: reduce_to:event_12709:0.00."
request_139,802.88,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Balance 3767.84 USD, min balance 1500.00. Forecast headroom on 2024-09-04 is 2185.84 against a request of 2316.00. Decision: affordable_with_plan / installments."
request_140,11074.8,not_affordable,not_recommended,none,,none,"Balance 34679.00 ZAR, min balance 21600.00. Forecast headroom on 2025-02-06 is 11074.80 against a request of 62832.00. Decision: not_affordable / not_recommended."
request_141,51435.0,not_affordable,not_recommended,none,,none,"Balance 122545.00 INR, min balance 67300.00. Forecast headroom on 2026-01-03 is 51435.00 against a request of 171600.00. Decision: not_affordable / not_recommended."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Balance 5993.85 USD, min balance 1700.00. Forecast headroom on 2024-12-05 is 4228.85 against a request of 1263.60. Decision: affordable_now / full_payment."
request_143,8384.2,not_affordable,not_recommended,none,,none,"Balance 20111.00 ZAR, min balance 11300.00. Forecast headroom on 2025-05-07 is 8384.20 against a request of 12584.00. Decision: not_affordable / not_recommended."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,"Balance 1248.08 USD, min balance 600.00. Forecast headroom on 2026-07-04 is 597.08 against a request of 233.34. Decision: affordable_now / full_payment."
request_145,105613.66,not_affordable,not_recommended,none,,none,"Balance 261013.66 INR, min balance 155400.00. Forecast headroom on 2024-03-06 is 105613.66 against a request of 217400.00. Decision: not_affordable / not_recommended."
request_146,81465.0,not_affordable,not_recommended,none,,none,"Balance 190065.00 INR, min balance 108600.00. Forecast headroom on 2025-08-03 is 81465.00 against a request of 449400.00. Decision: not_affordable / not_recommended."
request_147,741.53,not_affordable,not_recommended,none,,none,"Balance 1641.53 EUR, min balance 900.00. Forecast headroom on 2026-04-05 is 741.53 against a request of 1129.70. Decision: not_affordable / not_recommended."
request_148,13181.08,not_affordable,not_recommended,none,,none,"Balance 33181.08 ZAR, min balance 20000.00. Forecast headroom on 2024-06-07 is 13181.08 against a request of 22242.00. Decision: not_affordable / not_recommended."
request_149,36652.0,affordable_now,full_payment,2025-11-04:36652.00,2025-11-04,none,"Balance 84358.38 ZAR, min balance 42100.00. Forecast headroom on 2025-11-04 is 42258.38 against a request of 36652.00. Decision: affordable_now / full_payment."
request_150,496.1,affordable_now,full_payment,2026-01-06:496.10,2026-01-06,none,"Balance 1257.44 EUR, min balance 700.00. Forecast headroom on 2026-01-06 is 557.44 against a request of 496.10. Decision: affordable_now / full_payment."
